"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"17.10.2023","13.480,00","12.400,00","13.800,00","12.400,00","851,15K","9,15%"
"12.10.2023","12.350,00","11.950,00","12.630,45","11.577,00","671,59K","3,91%"
"11.10.2023","11.885,10","11.840,00","12.085,00","10.901,00","391,76K","6,69%"
"10.10.2023","11.140,10","10.600,00","11.999,00","10.600,00","396,00K","6,10%"
"09.10.2023","10.500,00","10.110,00","10.914,50","10.051,00","316,45K","5,47%"
"06.10.2023","9.955,15","10.260,95","10.570,00","9.800,00","321,98K","-2,92%"
"05.10.2023","10.255,00","10.330,00","10.568,60","10.166,00","343,15K","-0,63%"
"04.10.2023","10.320,00","9.749,00","10.330,00","9.620,00","221,14K","3,20%"
"03.10.2023","10.000,00","10.030,00","10.076,95","9.700,00","275,92K","-0,11%"
"02.10.2023","10.010,70","9.985,00","10.171,95","9.907,75","182,01K","-0,20%"
"29.09.2023","10.031,00","10.400,00","10.500,00","9.888,45","188,13K","-2,59%"
"28.09.2023","10.298,00","10.005,00","10.298,00","10.005,00","156,60K","2,93%"
"27.09.2023","10.005,00","9.502,00","10.036,00","9.502,00","196,64K","6,56%"
"26.09.2023","9.389,20","9.539,75","9.740,00","9.300,05","159,76K","-1,59%"
"25.09.2023","9.540,70","9.640,35","9.640,35","9.423,45","195,16K","-1,13%"
"22.09.2023","9.650,00","9.900,00","10.050,00","9.637,00","178,35K","-1,73%"
"21.09.2023","9.820,00","9.465,00","9.949,00","9.250,00","224,76K","3,34%"
"20.09.2023","9.503,00","9.601,00","9.749,85","9.501,00","187,52K","-0,79%"
"19.09.2023","9.579,00","9.700,00","9.700,00","9.451,00","241,08K","-0,94%"
"18.09.2023","9.669,95","9.450,00","9.670,00","9.370,05","243,22K","2,59%"
"15.09.2023","9.426,00","9.850,00","9.850,00","9.340,55","215,87K","-2,37%"
"14.09.2023","9.655,00","9.600,00","9.707,00","9.495,00","294,13K","1,15%"
"13.09.2023","9.545,00","9.350,00","9.566,00","9.150,05","296,39K","3,47%"
"12.09.2023","9.225,00","8.850,00","9.500,00","8.695,00","516,70K","3,89%"
"11.09.2023","8.880,00","9.341,00","9.444,75","8.730,00","875,95K","-4,82%"
"08.09.2023","9.330,00","9.650,30","10.100,00","9.177,50","511,79K","-3,64%"
"07.09.2023","9.682,00","10.168,80","10.187,50","9.590,00","349,04K","-5,63%"
"06.09.2023","10.260,00","10.406,00","10.500,00","10.228,25","217,83K","-0,97%"
"05.09.2023","10.360,00","10.664,25","10.700,00","10.200,00","311,57K","-3,98%"
"04.09.2023","10.789,00","10.920,00","11.090,00","10.565,00","100,29K","-0,96%"
"01.09.2023","10.894,00","11.400,05","11.567,60","10.860,75","261,09K","-4,25%"
"31.08.2023","11.378,00","11.720,00","11.850,00","11.197,80","215,15K","-2,92%"
"30.08.2023","11.720,00","11.931,00","12.124,00","11.600,00","196,19K","-1,68%"
"29.08.2023","11.920,00","11.900,00","12.159,10","11.770,00","198,98K","1,62%"
"28.08.2023","11.730,00","11.454,95","11.900,00","11.454,95","147,32K","2,45%"
"25.08.2023","11.450,00","11.213,55","11.455,85","11.150,00","199,08K","2,23%"
"24.08.2023","11.200,00","11.298,50","11.395,40","11.114,00","123,06K","-0,71%"
"23.08.2023","11.280,00","10.967,80","11.345,00","10.890,05","144,55K","2,84%"
"22.08.2023","10.968,60","10.952,00","11.036,70","10.714,00","162,82K","0,24%"
"18.08.2023","10.942,00","10.749,75","10.990,00","10.650,00","241,30K","-0,80%"
"17.08.2023","11.030,00","10.850,00","11.102,00","10.734,15","367,89K","4,42%"
"16.08.2023","10.563,00","10.357,00","10.730,00","10.265,00","401,83K","6,97%"
"15.08.2023","9.875,00","9.350,00","9.983,95","9.350,00","335,31K","6,07%"
"14.08.2023","9.310,00","8.600,00","9.790,00","8.400,00","533,74K","7,15%"
"11.08.2023","8.688,90","8.611,00","8.840,00","8.610,00","261,37K","0,80%"
"10.08.2023","8.620,00","8.495,00","8.680,00","8.495,00","213,66K","1,51%"
"09.08.2023","8.491,45","8.680,00","8.744,75","8.442,00","238,41K","-0,41%"
"08.08.2023","8.526,00","8.320,00","8.700,00","8.320,00","339,00K","2,35%"
"07.08.2023","8.329,90","8.250,00","8.352,00","8.176,65","217,94K","0,97%"
"04.08.2023","8.250,00","8.068,15","8.484,95","8.068,15","284,08K","2,41%"
