"Fecha","Ultimo","Apertura","Maximo","Minimo","Vol","Var"
"17.10.2023","13,720","12,950","13,800","12,860","2,07M","5,70%"
"16.10.2023","12,980","12,940","13,080","12,620","896,97K","1,88%"
"13.10.2023","12,740","13,120","13,150","12,670","1,62M","-0,93%"
"12.10.2023","12,860","12,590","12,920","12,260","2,03M","2,88%"
"11.10.2023","12,500","12,080","12,570","12,020","1,37M","3,48%"
"10.10.2023","12,080","12,010","12,240","11,920","1,21M","0,92%"
"09.10.2023","11,970","11,500","12,090","11,500","1,67M","5,00%"
"06.10.2023","11,400","11,550","11,820","11,280","1,93M","-0,78%"
"05.10.2023","11,490","11,260","11,555","11,210","1,49M","0,26%"
"04.10.2023","11,460","11,480","11,520","11,090","1,98M","-1,55%"
"03.10.2023","11,640","12,010","12,150","11,480","2,20M","-3,96%"
"02.10.2023","12,120","12,170","12,260","11,900","1,73M","-1,06%"
"29.09.2023","12,250","12,740","12,740","12,210","2,07M","-2,93%"
"28.09.2023","12,620","12,640","12,806","12,570","962,16K","-0,55%"
"27.09.2023","12,690","12,380","12,810","12,210","1,63M","3,93%"
"26.09.2023","12,210","12,320","12,670","12,150","1,82M","-2,94%"
"25.09.2023","12,580","12,870","12,870","12,520","1,29M","-2,25%"
"22.09.2023","12,870","13,180","13,395","12,850","1,78M","-1,91%"
"21.09.2023","13,120","12,440","13,335","12,320","3,20M","2,58%"
"20.09.2023","12,790","12,920","13,230","12,760","1,68M","-1,16%"
"19.09.2023","12,940","13,200","13,350","12,785","1,46M","-1,07%"
"18.09.2023","13,080","12,800","13,090","12,580","1,08M","2,91%"
"15.09.2023","12,710","12,920","12,960","12,620","1,55M","-1,70%"
"14.09.2023","12,930","13,000","13,041","12,680","1,39M","0,70%"
"13.09.2023","12,840","12,500","12,880","12,350","2,25M","3,13%"
"12.09.2023","12,450","11,970","12,565","11,830","2,64M","3,15%"
"11.09.2023","12,070","12,670","12,890","11,911","2,82M","-4,66%"
"08.09.2023","12,660","13,040","13,830","12,450","3,89M","-3,28%"
"07.09.2023","13,090","13,340","13,430","13,000","1,90M","-2,82%"
"06.09.2023","13,470","13,540","13,960","13,470","1,55M","-1,32%"
